x,y,z
5.92,6.38,5.05
5.94,4.48,5.57
6.29,5.22,5.16
6.13,6.21,4.35
6.59,5.35,4.26
7.4,6.04,6.21
5.29,6.72,4.63
5.54,5.13,5.8
8.08,6.84,5.21
6.35,4.3,3.89
7.12,4.61,6.13
5.99,5.21,4.92
5.15,4.8,5.08
6.55,5.21,4.9
5.0,4.37,5.03
6.12,5.59,4.65
7.6,6.97,5.65
6.38,5.94,5.33
4.86,4.93,3.8
7.08,5.28,4.87
5.81,6.22,5.29
6.78,5.77,5.07
5.03,5.42,5.26
6.87,4.01,3.56
7.15,5.62,4.77
6.94,6.84,4.97
6.45,5.43,3.68
7.77,5.44,5.51
5.43,6.2,4.85
7.26,5.5,5.88
6.84,6.49,4.83
6.25,5.97,4.41
6.21,5.86,4.42
7.49,4.32,5.79
7.1,6.28,5.45
6.34,4.88,5.95
6.57,4.82,5.33
5.4,5.21,5.15
6.63,5.22,6.03
5.42,7.24,3.8
5.0,5.12,5.17
4.38,5.89,4.55
